id,alias,name,image_url,is_closed,url,review_count,category alias,category title,rating,coordinates,latitude,longitude,street,apt,area,city,pincode,country,state,address1,address2,phone,display_phone,distance,price,2018rank,City,State[c],2018estimate
H4jJ7XB3CetIr1pg56CczQ,levain-bakery-new-york,Levain Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/zgjSt_RGjXQMJxYxYSo-bQ/o.jpg,FALSE,https://www.yelp.com/biz/levain-bakery-new-york?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,7857,bakeries,Bakeries,4.5,40.77994046,-73.98028255,,167 W 74th St,,,New York,10023,US,NY,167 W 74th St-New York, NY 10023,19174643769,(917) 464-3769,8367.197123,$$,1,New York,New York,8398748
V7lXZKBDzScDeGB8JmnzSA,katzs-delicatessen-new-york,Katz's Delicatessen,https://s3-media1.fl.yelpcdn.com/bphoto/B6xNx79cSE7bFxqERBYOhg/o.jpg,FALSE,https://www.yelp.com/biz/katzs-delicatessen-new-york?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,11899,delis,Delis,4,40.722237,-73.98743,delivery-pickup,205 E Houston St,,,New York,10003,US,NY,205 E Houston St-New York, NY 10003,12122542246,(212) 254-2246,1954.747221,$$,1,New York,New York,8398748
xEnNFXtMLDF5kZDxfaCJgA,the-halal-guys-new-york-2,The Halal Guys,https://s3-media1.fl.yelpcdn.com/bphoto/24lb-VP2zVySsY9cq45ETw/o.jpg,FALSE,https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,9281,foodstands,Food Stands,4,40.761854,-73.979363,,W 53rd St 6th Ave,None,,New York,10019,US,NY,W 53rd St 6th Ave-New York, NY 10019,,,6397.309914,$,1,New York,New York,8398748
44SY464xDHbvOcjDzRbKkQ,ippudo-ny-new-york-7,Ippudo NY,https://s3-media1.fl.yelpcdn.com/bphoto/zF3EgqHCk7zBUwD2B3WTEA/o.jpg,FALSE,https://www.yelp.com/biz/ippudo-ny-new-york-7?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,9900,ramen,Ramen,4,40.73092,-73.99015,delivery-pickup,65 4th Ave,,,New York,10003,US,NY,65 4th Ave-New York, NY 10003,,,2854.301267,$$,1,New York,New York,8398748
jVncyqXwlx_D9f2xZn05tg,the-metropolitan-museum-of-art-new-york-3,The Metropolitan Museum of Art,https://s3-media2.fl.yelpcdn.com/bphoto/lHEKQRcbGaaEQfVO2P3AMw/o.jpg,FALSE,https://www.yelp.com/biz/the-metropolitan-museum-of-art-new-york-3?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,2799,artmuseums,Art Museums,4.5,40.77925427,-73.96288417,,1000 5th Ave,,,New York,10028,US,NY,1000 5th Ave-New York, NY 10028,12125357710,(212) 535-7710,8623.249506, ,1,New York,New York,8398748
xOw4aafJRji9XomGunlvcQ,central-park-new-york,Central Park,https://s3-media2.fl.yelpcdn.com/bphoto/ru79-OUEcTI2_yVQqZBTjQ/o.jpg,FALSE,https://www.yelp.com/biz/central-park-new-york?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,2391,parks,Parks,5,40.78241874,-73.96560228,,14 E 60th St,,Central Park Conservancy,New York,10022,US,NY,14 E 60th St-Central Park Conservancy-New York, NY 10022,12123106600,(212) 310-6600,8893.835856, ,1,New York,New York,8398748
WHRHK3S1mQc3PmhwsGRvbw,bibble-and-sip-new-york-2,Bibble & Sip,https://s3-media2.fl.yelpcdn.com/bphoto/jf84Chsb5Ng76BdwMgLZsw/o.jpg,FALSE,https://www.yelp.com/biz/bibble-and-sip-new-york-2?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,4665,coffee,Coffee & Tea,4.5,40.76282,-73.98518,,253 W 51st St,,,New York,10019,US,NY,253 W 51st St-New York, NY 10019,16466495116,(646) 649-5116,6427.921252,$,1,New York,New York,8398748
jnEv25Y2DosTq2sNnvmC9g,los-tacos-no-1-new-york,Los Tacos No.1,https://s3-media2.fl.yelpcdn.com/bphoto/FU44TYl3PzXsE06G4W5aog/o.jpg,FALSE,https://www.yelp.com/biz/los-tacos-no-1-new-york?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,2867,tacos,Tacos,4.5,40.7425547,-74.0060838,,75 9th Ave,,,New York,10011,US,NY,75 9th Ave-New York, NY 10011,12122560343,(212) 256-0343,4244.358699,$,1,New York,New York,8398748
UA2M9QFZghe-9th2KwLoWQ,burger-and-lobster-new-york-4,Burger & Lobster,https://s3-media3.fl.yelpcdn.com/bphoto/1rHd7F4zztAsScwzM0vDmw/o.jpg,FALSE,https://www.yelp.com/biz/burger-and-lobster-new-york-4?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,5338,seafood,Seafood,4,40.74007,-73.99344,delivery-pickup-restaurant_reservation,39 W 19th St,,,New York,10011,US,NY,39 W 19th St-New York, NY 10011,16468337532,(646) 833-7532,3852.218853,$$,1,New York,New York,8398748
jjJc_CrkB2HodEinB6cWww,lovemama-new-york,LoveMama,https://s3-media1.fl.yelpcdn.com/bphoto/bLlFKTlVuLfmF-lIDGIjZA/o.jpg,FALSE,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=dZUGJKtf6roV8cYprztpMw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dZUGJKtf6roV8cYprztpMw,4747,thai,Thai,4.5,40.7303859,-73.9860613,delivery-pickup-restaurant_reservation,174 2nd Ave,,,New York,10003,US,NY,174 2nd Ave-New York, NY 10003,12122545370,(212) 254-5370,2858.772941,$$,1,New York,New York,8398748
